w1,w2,w3,w4,w5,w6,w7,w8,doses,EM
0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,-12
0,0,0,0,0,0,0,0,0,-2
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,-2
0,0,0,0,0,0,0,0,0,27
0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,-19
0,0,0,0,0,0,0,0,0,-9
0.021750603,0,0,0,0,0,0,0,0,16
0.30199876,0,0,0,0,0,0,0,0,17
2.7025125,0,0,0,0,0,0,0,0,-3
18.407284,0,0,0,0,0,0,0,0,29
50.968773,0,0,0,0,0,0,0,0,48
78.81875,0,0,0,0,0,0,0,0,86
91.47091,0,0,0,0,0,0,0,0,48
80.25638,0,0,0,0,0,0,0,0,87
88.03975,0,0,0,0,0,0,0,0,26
80.7236,0,0,0,0,0,0,0,0,50
73.03183,0,0,0,0,0,0,0,0,68
70.46233,0,0,0,0,0,0,0,0,14
67.94679,0,0,0,0,0,0,0,0,39
62.705734,0,0,0,0,0,0,0,0,97
0,61.038467,0,0,0,0,0,0,0,101
0,65.81565,0,0,0,0,0,0,0,81
0,80.98795,0,0,0,0,0,0,0,108
0,116.57571,0,0,0,0,0,0,0,55
0,146.53256,0,0,0,0,0,0,0,134
0,179.7587,0,0,0,0,0,0,0,141
0,195.19536,0,0,0,0,0,0,0,105
0,192.37572,0,0,0,0,0,0,0,96
0,175.32492,0,0,0,0,0,0,0,47
0,153.42542,0,0,0,0,0,0,0,125
0,149.38565,0,0,0,0,0,0,0,112
0,126.285675,0,0,0,0,0,0,0,83
0,122.86121,0,0,0,0,0,0,0,75
0,0,122.58807,0,0,0,0,0,0,131
0,0,101.85724,0,0,0,0,0,0,77
0,0,118.93774,0,0,0,0,0,0,67
0,0,127.88058,0,0,0,0,0,0,95
0,0,127.26738,0,0,0,0,0,0,81
0,0,146.14189,0,0,0,0,0,0,79
0,0,164.14595,0,0,0,0,0,0,22
0,0,204.03488,0,0,0,0,0,0,27
0,0,272.70572,0,0,0,0,0,0,85
0,0,333.44803,0,0,0,0,0,0,63
0,0,445.54855,0,0,0,0,0,0,0
0,0,500.8177,0,0,0,0,0,0,95
0,0,470.31665,0,0,0,0,0,0,60
0,0,576.2944,0,0,0,0,0,0,57
0,0,620.9069,0,0,0,0,0,441650,60
0,0,630.8587,0,0,0,0,0,1748764,81
0,0,532.41504,0,0,0,0,0,2272646,63
0,0,631.7337,0,0,0,0,0,3753569,48
0,0,718.2522,0,0,0,0,0,5842021,96
0,0,629.626,0,0,0,0,0,6479340,106
0,0,492.24667,0,0,0,0,0,9039912,73
0,0,423.43405,0,0,0,0,0,9460062,113
0,0,338.64017,0,0,0,0,0,11603920,36
0,0,259.37384,0,0,0,0,0,10647616,40
0,0,185.29381,0,0,0,0,0,11516680,95
0,0,194.2835,0,0,0,0,0,15106143,72
