w1,w2,w3,w4,w5,w6,w7,w8,doses,EM
0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,15
0,0,0,0,0,0,0,0,0,24
0,0,0,0,0,0,0,0,0,-5
0,0,0,0,0,0,0,0,0,29
0,0,0,0,0,0,0,0,0,15
0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,29
0,0,0,0,0,0,0,0,0,13
0.021750603,0,0,0,0,0,0,0,0,-12
0.30199876,0,0,0,0,0,0,0,0,26
2.7025125,0,0,0,0,0,0,0,0,0
18.407284,0,0,0,0,0,0,0,0,4
50.968773,0,0,0,0,0,0,0,0,-12
78.81875,0,0,0,0,0,0,0,0,24
91.47091,0,0,0,0,0,0,0,0,-16
80.25638,0,0,0,0,0,0,0,0,32
88.03975,0,0,0,0,0,0,0,0,30
80.7236,0,0,0,0,0,0,0,0,42
73.03183,0,0,0,0,0,0,0,0,-6
70.46233,0,0,0,0,0,0,0,0,36
67.94679,0,0,0,0,0,0,0,0,2
62.705734,0,0,0,0,0,0,0,0,38
0,61.038467,0,0,0,0,0,0,0,52
0,65.81565,0,0,0,0,0,0,0,25
0,80.98795,0,0,0,0,0,0,0,68
0,116.57571,0,0,0,0,0,0,0,63
0,146.53256,0,0,0,0,0,0,0,89
0,179.7587,0,0,0,0,0,0,0,54
0,195.19536,0,0,0,0,0,0,0,31
0,192.37572,0,0,0,0,0,0,0,38
0,175.32492,0,0,0,0,0,0,0,56
0,153.42542,0,0,0,0,0,0,0,75
0,149.38565,0,0,0,0,0,0,0,51
0,126.285675,0,0,0,0,0,0,0,73
0,122.86121,0,0,0,0,0,0,0,46
0,0,122.58807,0,0,0,0,0,0,51
0,0,101.85724,0,0,0,0,0,0,54
0,0,118.93774,0,0,0,0,0,0,48
0,0,127.88058,0,0,0,0,0,0,55
0,0,127.26738,0,0,0,0,0,0,49
0,0,146.14189,0,0,0,0,0,0,30
0,0,164.14595,0,0,0,0,0,0,16
0,0,204.03488,0,0,0,0,0,0,9
0,0,272.70572,0,0,0,0,0,0,42
0,0,333.44803,0,0,0,0,0,0,71
0,0,445.54855,0,0,0,0,0,0,56
0,0,500.8177,0,0,0,0,0,0,23
0,0,470.31665,0,0,0,0,0,0,58
0,0,576.2944,0,0,0,0,0,0,10
0,0,620.9069,0,0,0,0,0,441650,69
0,0,630.8587,0,0,0,0,0,1748764,32
0,0,532.41504,0,0,0,0,0,2272646,31
0,0,631.7337,0,0,0,0,0,3753569,22
0,0,718.2522,0,0,0,0,0,5842021,25
0,0,629.626,0,0,0,0,0,6479340,33
0,0,492.24667,0,0,0,0,0,9039912,67
0,0,423.43405,0,0,0,0,0,9460062,61
0,0,338.64017,0,0,0,0,0,11603920,28
0,0,259.37384,0,0,0,0,0,10647616,35
0,0,185.29381,0,0,0,0,0,11516680,47
0,0,194.2835,0,0,0,0,0,15106143,28
0,0,0,167.8724,0,0,0,0,17791178,85
0,0,0,159.79834,0,0,0,0,15737996,49
0,0,0,160.50732,0,0,0,0,18739238,68
0,0,0,180.1088,0,0,0,0,21507687,28
0,0,0,185.26411,0,0,0,0,21779287,91
0,0,0,195.7065,0,0,0,0,22404204,43
0,0,0,197.60255,0,0,0,0,19768547,86
0,0,0,155.63853,0,0,0,0,17823011,57
0,0,0,138.37022,0,0,0,0,13883734,32
0,0,0,113.74645,0,0,0,0,13485137,58
0,0,0,92.02304,0,0,0,0,13108881,69
0,0,0,70.54348,0,0,0,0,9763827,43
0,0,0,57.528255,0,0,0,0,6563680,72
0,0,0,40.55316,0,0,0,0,7843998,73
0,0,0,39.660553,0,0,0,0,9005069,69
0,0,0,33.861088,0,0,0,0,5005306,59
0,0,0,0,37.733112,0,0,0,7847448,47
0,0,0,0,40.45403,0,0,0,3594853,59
0,0,0,0,125.67624,0,0,0,3674044,55
0,0,0,0,102.52649,0,0,0,3800524,62
0,0,0,0,165.5957,0,0,0,4600494,53
0,0,0,0,247.55533,0,0,0,4986722,25
0,0,0,0,342.29718,0,0,0,5141637,33
0,0,0,0,384.81082,0,0,0,5915739,79
0,0,0,0,433.21805,0,0,0,6227306,81
0,0,0,0,457.71594,0,0,0,6577054,52
0,0,0,0,478.26273,0,0,0,4983296,97
0,0,0,0,428.78262,0,0,0,5439070,56
0,0,0,0,412.9649,0,0,0,4461399,83
0,0,0,0,337.3351,0,0,0,5317594,85
0,0,0,0,306.55426,0,0,0,7128957,80
0,0,0,0,277.0755,0,0,0,5627721,37
0,0,0,0,235.84598,0,0,0,5409208,62
0,0,0,0,193.27377,0,0,0,7801514,83
0,0,0,0,0,218.4731,0,0,8784825,64
0,0,0,0,0,216.42896,0,0,9591953,64
0,0,0,0,0,247.84729,0,0,10921127,55
0,0,0,0,0,275.62698,0,0,4492149,45
0,0,0,0,0,257.57147,0,0,14069045,40
0,0,0,0,0,320.12955,0,0,14179188,62
0,0,0,0,0,349.00473,0,0,10936559,44
