w1,w2,w3,w4,w5,w6,w7,w8,doses,EM
0,0,0,0,0,0,0,0,0,252
0,0,0,0,0,0,0,0,0,182
0,0,0,0,0,0,0,0,0,242
0,0,0,0,0,0,0,0,0,313
0,0,0,0,0,0,0,0,0,139
0,0,0,0,0,0,0,0,0,378
0,0,0,0,0,0,0,0,0,351
0,0,0,0,0,0,0,0,0,356
0,0,0,0,0,0,0,0,0,269
0.021750603,0,0,0,0,0,0,0,0,355
0.30199876,0,0,0,0,0,0,0,0,312
2.7025125,0,0,0,0,0,0,0,0,375
18.407284,0,0,0,0,0,0,0,0,730
50.968773,0,0,0,0,0,0,0,0,1468
78.81875,0,0,0,0,0,0,0,0,1845
91.47091,0,0,0,0,0,0,0,0,1672
80.25638,0,0,0,0,0,0,0,0,1589
88.03975,0,0,0,0,0,0,0,0,1146
80.7236,0,0,0,0,0,0,0,0,1130
73.03183,0,0,0,0,0,0,0,0,926
70.46233,0,0,0,0,0,0,0,0,1057
67.94679,0,0,0,0,0,0,0,0,642
62.705734,0,0,0,0,0,0,0,0,604
0,61.038467,0,0,0,0,0,0,0,678
0,65.81565,0,0,0,0,0,0,0,635
0,80.98795,0,0,0,0,0,0,0,715
0,116.57571,0,0,0,0,0,0,0,831
0,146.53256,0,0,0,0,0,0,0,1081
0,179.7587,0,0,0,0,0,0,0,1103
0,195.19536,0,0,0,0,0,0,0,1299
0,192.37572,0,0,0,0,0,0,0,1207
0,175.32492,0,0,0,0,0,0,0,1249
0,153.42542,0,0,0,0,0,0,0,1168
0,149.38565,0,0,0,0,0,0,0,997
0,126.285675,0,0,0,0,0,0,0,905
0,122.86121,0,0,0,0,0,0,0,815
0,0,122.58807,0,0,0,0,0,0,815
0,0,101.85724,0,0,0,0,0,0,852
0,0,118.93774,0,0,0,0,0,0,828
0,0,127.88058,0,0,0,0,0,0,581
0,0,127.26738,0,0,0,0,0,0,808
0,0,146.14189,0,0,0,0,0,0,593
0,0,164.14595,0,0,0,0,0,0,895
0,0,204.03488,0,0,0,0,0,0,817
0,0,272.70572,0,0,0,0,0,0,911
0,0,333.44803,0,0,0,0,0,0,1101
0,0,445.54855,0,0,0,0,0,0,1271
0,0,500.8177,0,0,0,0,0,0,1259
0,0,470.31665,0,0,0,0,0,0,1439
0,0,576.2944,0,0,0,0,0,0,2069
0,0,620.9069,0,0,0,0,0,441650,1726
0,0,630.8587,0,0,0,0,0,1748764,2146
0,0,532.41504,0,0,0,0,0,2272646,1517
0,0,631.7337,0,0,0,0,0,3753569,2127
0,0,718.2522,0,0,0,0,0,5842021,2311
0,0,629.626,0,0,0,0,0,6479340,2192
0,0,492.24667,0,0,0,0,0,9039912,1906
0,0,423.43405,0,0,0,0,0,9460062,1847
0,0,338.64017,0,0,0,0,0,11603920,1428
0,0,259.37384,0,0,0,0,0,10647616,1433
0,0,185.29381,0,0,0,0,0,11516680,1109
0,0,194.2835,0,0,0,0,0,15106143,1004
0,0,0,167.8724,0,0,0,0,17791178,640
0,0,0,159.79834,0,0,0,0,15737996,619
0,0,0,160.50732,0,0,0,0,18739238,727
0,0,0,180.1088,0,0,0,0,21507687,532
0,0,0,185.26411,0,0,0,0,21779287,773
0,0,0,195.7065,0,0,0,0,22404204,846
0,0,0,197.60255,0,0,0,0,19768547,909
0,0,0,155.63853,0,0,0,0,17823011,1019
0,0,0,138.37022,0,0,0,0,13883734,904
0,0,0,113.74645,0,0,0,0,13485137,956
0,0,0,92.02304,0,0,0,0,13108881,893
0,0,0,70.54348,0,0,0,0,9763827,773
0,0,0,57.528255,0,0,0,0,6563680,841
0,0,0,40.55316,0,0,0,0,7843998,699
0,0,0,39.660553,0,0,0,0,9005069,819
0,0,0,33.861088,0,0,0,0,5005306,612
0,0,0,0,37.733112,0,0,0,7847448,855
0,0,0,0,40.45403,0,0,0,3594853,749
0,0,0,0,125.67624,0,0,0,3674044,671
0,0,0,0,102.52649,0,0,0,3800524,726
0,0,0,0,165.5957,0,0,0,4600494,1125
0,0,0,0,247.55533,0,0,0,4986722,1400
0,0,0,0,342.29718,0,0,0,5141637,1785
0,0,0,0,384.81082,0,0,0,5915739,2031
0,0,0,0,433.21805,0,0,0,6227306,2294
0,0,0,0,457.71594,0,0,0,6577054,2649
0,0,0,0,478.26273,0,0,0,4983296,2670
0,0,0,0,428.78262,0,0,0,5439070,2491
0,0,0,0,412.9649,0,0,0,4461399,2371
0,0,0,0,337.3351,0,0,0,5317594,2169
0,0,0,0,306.55426,0,0,0,7128957,1805
0,0,0,0,277.0755,0,0,0,5627721,1624
0,0,0,0,235.84598,0,0,0,5409208,1472
0,0,0,0,193.27377,0,0,0,7801514,1306
0,0,0,0,0,218.4731,0,0,8784825,1407
0,0,0,0,0,216.42896,0,0,9591953,1334
0,0,0,0,0,247.84729,0,0,10921127,1364
0,0,0,0,0,275.62698,0,0,4492149,1332
0,0,0,0,0,257.57147,0,0,14069045,1712
0,0,0,0,0,320.12955,0,0,14179188,1804
0,0,0,0,0,349.00473,0,0,10936559,1653
0,0,0,0,0,404.40646,0,0,8932161,1536
0,0,0,0,0,650.3138,0,0,7434284,1693
0,0,0,0,0,1287.78,0,0,8022489,2001
0,0,0,0,0,2059.7678,0,0,8877413,2486
0,0,0,0,0,2342.516,0,0,7016256,2391
0,0,0,0,0,2008.4612,0,0,4171100,2402
0,0,0,0,0,1474.9155,0,0,4589135,2052
0,0,0,0,0,840.60394,0,0,3949296,1781
0,0,0,0,0,475.40292,0,0,3314760,1137
0,0,0,0,0,277.8786,0,0,2587508,890
0,0,0,0,0,179.91597,0,0,2341308,660
0,0,0,0,0,130.4664,0,0,1909369,629
0,0,0,0,0,97.201775,0,0,1588802,511
0,0,0,0,0,86.74057,0,0,1339360,307
0,0,0,0,0,81.90524,0,0,1954000,326
0,0,0,0,0,0,81.32425,0,3502597,379
0,0,0,0,0,0,87.97868,0,3870540,380
0,0,0,0,0,0,105.47202,0,3150713,351
0,0,0,0,0,0,129.54074,0,3582110,527
0,0,0,0,0,0,161.74962,0,2960479,337
0,0,0,0,0,0,197.5189,0,2650519,584
0,0,0,0,0,0,259.7566,0,2610733,587
0,0,0,0,0,0,309.7177,0,2924924,487
0,0,0,0,0,0,305.7428,0,1962282,492
0,0,0,0,0,0,290.6621,0,1920577,597
0,0,0,0,0,0,303.95883,0,1187400,642
0,0,0,0,0,0,279.07614,0,1756885,581
0,0,0,0,0,0,303.86304,0,2493960,543
0,0,0,0,0,0,326.24063,0,1421546,580
0,0,0,0,0,0,318.77518,0,1634078,569
0,0,0,0,0,0,371.91983,0,2208688,756
0,0,0,0,0,0,377.66827,0,2196070,692
0,0,0,0,0,0,383.13773,0,542101,650
0,0,0,0,0,0,325.5237,0,1926870,613
0,0,0,0,0,0,287.46643,0,1425511,623
0,0,0,0,0,0,271.78174,0,1348981,486
0,0,0,0,0,0,255.17516,0,1075282,550
0,0,0,0,0,0,239.79245,0,673947,488
0,0,0,0,0,0,185.16832,0,2094557,600
0,0,0,0,0,0,168.28023,0,3391188,714
0,0,0,0,0,0,151.47246,0,3593664,541
0,0,0,0,0,0,132.22945,0,4433009,656
0,0,0,0,0,0,116.7334,0,3655982,462
0,0,0,0,0,0,102.0304,0,5050701,540
0,0,0,0,0,0,0,111.48564,3965893,452
0,0,0,0,0,0,0,106.72687,4041843,598
0,0,0,0,0,0,0,111.808136,5610894,577
0,0,0,0,0,0,0,118.33039,4285996,762
0,0,0,0,0,0,0,115.02054,2692357,774
0,0,0,0,0,0,0,125.55578,1777493,883
0,0,0,0,0,0,0,126.57136,2647149,931
0,0,0,0,0,0,0,193.33902,2473523,737
0,0,0,0,0,0,0,186.55911,1747758,861
0,0,0,0,0,0,0,212.49043,1674005,901
