w1,w2,w3,w4,w5,w6,w7,w8,doses,EM
0,0,0,0,0,0,0,0,0,160
0,0,0,0,0,0,0,0,0,198
0,0,0,0,0,0,0,0,0,263
0,0,0,0,0,0,0,0,0,292
0,0,0,0,0,0,0,0,0,292
0,0,0,0,0,0,0,0,0,165
0,0,0,0,0,0,0,0,0,277
0,0,0,0,0,0,0,0,0,265
0,0,0,0,0,0,0,0,0,313
0.021750603,0,0,0,0,0,0,0,0,395
0.30199876,0,0,0,0,0,0,0,0,435
2.7025125,0,0,0,0,0,0,0,0,541
18.407284,0,0,0,0,0,0,0,0,675
50.968773,0,0,0,0,0,0,0,0,1589
78.81875,0,0,0,0,0,0,0,0,2378
91.47091,0,0,0,0,0,0,0,0,2157
80.25638,0,0,0,0,0,0,0,0,1691
88.03975,0,0,0,0,0,0,0,0,1498
80.7236,0,0,0,0,0,0,0,0,1355
73.03183,0,0,0,0,0,0,0,0,1247
70.46233,0,0,0,0,0,0,0,0,896
67.94679,0,0,0,0,0,0,0,0,822
62.705734,0,0,0,0,0,0,0,0,776
0,61.038467,0,0,0,0,0,0,0,771
0,65.81565,0,0,0,0,0,0,0,765
0,80.98795,0,0,0,0,0,0,0,694
0,116.57571,0,0,0,0,0,0,0,928
0,146.53256,0,0,0,0,0,0,0,1230
0,179.7587,0,0,0,0,0,0,0,1285
0,195.19536,0,0,0,0,0,0,0,1495
0,192.37572,0,0,0,0,0,0,0,1500
0,175.32492,0,0,0,0,0,0,0,1448
0,153.42542,0,0,0,0,0,0,0,1377
0,149.38565,0,0,0,0,0,0,0,1442
0,126.285675,0,0,0,0,0,0,0,965
0,122.86121,0,0,0,0,0,0,0,1006
0,0,122.58807,0,0,0,0,0,0,755
0,0,101.85724,0,0,0,0,0,0,1019
0,0,118.93774,0,0,0,0,0,0,951
0,0,127.88058,0,0,0,0,0,0,856
0,0,127.26738,0,0,0,0,0,0,969
0,0,146.14189,0,0,0,0,0,0,857
0,0,164.14595,0,0,0,0,0,0,981
0,0,204.03488,0,0,0,0,0,0,1187
0,0,272.70572,0,0,0,0,0,0,1436
0,0,333.44803,0,0,0,0,0,0,1405
0,0,445.54855,0,0,0,0,0,0,1587
0,0,500.8177,0,0,0,0,0,0,1680
0,0,470.31665,0,0,0,0,0,0,1967
0,0,576.2944,0,0,0,0,0,0,2438
0,0,620.9069,0,0,0,0,0,441650,2599
0,0,630.8587,0,0,0,0,0,1748764,2549
0,0,532.41504,0,0,0,0,0,2272646,1869
0,0,631.7337,0,0,0,0,0,3753569,2837
0,0,718.2522,0,0,0,0,0,5842021,2980
0,0,629.626,0,0,0,0,0,6479340,2758
0,0,492.24667,0,0,0,0,0,9039912,2365
0,0,423.43405,0,0,0,0,0,9460062,2362
0,0,338.64017,0,0,0,0,0,11603920,1604
0,0,259.37384,0,0,0,0,0,10647616,1673
0,0,185.29381,0,0,0,0,0,11516680,1406
0,0,194.2835,0,0,0,0,0,15106143,956
0,0,0,167.8724,0,0,0,0,17791178,866
0,0,0,159.79834,0,0,0,0,15737996,676
0,0,0,160.50732,0,0,0,0,18739238,676
0,0,0,180.1088,0,0,0,0,21507687,759
0,0,0,185.26411,0,0,0,0,21779287,916
0,0,0,195.7065,0,0,0,0,22404204,907
0,0,0,197.60255,0,0,0,0,19768547,972
0,0,0,155.63853,0,0,0,0,17823011,992
0,0,0,138.37022,0,0,0,0,13883734,848
0,0,0,113.74645,0,0,0,0,13485137,879
0,0,0,92.02304,0,0,0,0,13108881,1075
0,0,0,70.54348,0,0,0,0,9763827,776
0,0,0,57.528255,0,0,0,0,6563680,852
0,0,0,40.55316,0,0,0,0,7843998,825
0,0,0,39.660553,0,0,0,0,9005069,828
0,0,0,33.861088,0,0,0,0,5005306,836
0,0,0,0,37.733112,0,0,0,7847448,857
0,0,0,0,40.45403,0,0,0,3594853,838
0,0,0,0,125.67624,0,0,0,3674044,902
0,0,0,0,102.52649,0,0,0,3800524,1038
0,0,0,0,165.5957,0,0,0,4600494,1268
0,0,0,0,247.55533,0,0,0,4986722,1456
0,0,0,0,342.29718,0,0,0,5141637,2125
0,0,0,0,384.81082,0,0,0,5915739,2180
0,0,0,0,433.21805,0,0,0,6227306,2650
0,0,0,0,457.71594,0,0,0,6577054,2712
0,0,0,0,478.26273,0,0,0,4983296,2885
0,0,0,0,428.78262,0,0,0,5439070,2673
0,0,0,0,412.9649,0,0,0,4461399,2481
0,0,0,0,337.3351,0,0,0,5317594,2394
0,0,0,0,306.55426,0,0,0,7128957,2183
0,0,0,0,277.0755,0,0,0,5627721,2035
0,0,0,0,235.84598,0,0,0,5409208,1743
0,0,0,0,193.27377,0,0,0,7801514,1798
0,0,0,0,0,218.4731,0,0,8784825,1731
0,0,0,0,0,216.42896,0,0,9591953,1635
0,0,0,0,0,247.84729,0,0,10921127,1500
0,0,0,0,0,275.62698,0,0,4492149,1752
0,0,0,0,0,257.57147,0,0,14069045,1984
0,0,0,0,0,320.12955,0,0,14179188,1959
0,0,0,0,0,349.00473,0,0,10936559,2051
0,0,0,0,0,404.40646,0,0,8932161,2055
0,0,0,0,0,650.3138,0,0,7434284,2191
0,0,0,0,0,1287.78,0,0,8022489,2474
0,0,0,0,0,2059.7678,0,0,8877413,2943
0,0,0,0,0,2342.516,0,0,7016256,3114
0,0,0,0,0,2008.4612,0,0,4171100,2893
0,0,0,0,0,1474.9155,0,0,4589135,2810
0,0,0,0,0,840.60394,0,0,3949296,2207
0,0,0,0,0,475.40292,0,0,3314760,1733
0,0,0,0,0,277.8786,0,0,2587508,1180
0,0,0,0,0,179.91597,0,0,2341308,1016
0,0,0,0,0,130.4664,0,0,1909369,700
0,0,0,0,0,97.201775,0,0,1588802,697
0,0,0,0,0,86.74057,0,0,1339360,705
0,0,0,0,0,81.90524,0,0,1954000,479
0,0,0,0,0,0,81.32425,0,3502597,537
0,0,0,0,0,0,87.97868,0,3870540,562
0,0,0,0,0,0,105.47202,0,3150713,531
0,0,0,0,0,0,129.54074,0,3582110,715
0,0,0,0,0,0,161.74962,0,2960479,670
0,0,0,0,0,0,197.5189,0,2650519,721
0,0,0,0,0,0,259.7566,0,2610733,847
0,0,0,0,0,0,309.7177,0,2924924,742
0,0,0,0,0,0,305.7428,0,1962282,767
0,0,0,0,0,0,290.6621,0,1920577,732
0,0,0,0,0,0,303.95883,0,1187400,788
0,0,0,0,0,0,279.07614,0,1756885,964
0,0,0,0,0,0,303.86304,0,2493960,828
0,0,0,0,0,0,326.24063,0,1421546,866
0,0,0,0,0,0,318.77518,0,1634078,811
0,0,0,0,0,0,371.91983,0,2208688,1093
0,0,0,0,0,0,377.66827,0,2196070,1005
0,0,0,0,0,0,383.13773,0,542101,998
0,0,0,0,0,0,325.5237,0,1926870,1003
0,0,0,0,0,0,287.46643,0,1425511,968
0,0,0,0,0,0,271.78174,0,1348981,874
0,0,0,0,0,0,255.17516,0,1075282,938
0,0,0,0,0,0,239.79245,0,673947,982
0,0,0,0,0,0,185.16832,0,2094557,903
0,0,0,0,0,0,168.28023,0,3391188,862
0,0,0,0,0,0,151.47246,0,3593664,927
0,0,0,0,0,0,132.22945,0,4433009,852
0,0,0,0,0,0,116.7334,0,3655982,1088
0,0,0,0,0,0,102.0304,0,5050701,906
0,0,0,0,0,0,0,111.48564,3965893,933
0,0,0,0,0,0,0,106.72687,4041843,1017
0,0,0,0,0,0,0,111.808136,5610894,983
0,0,0,0,0,0,0,118.33039,4285996,1048
0,0,0,0,0,0,0,115.02054,2692357,1316
0,0,0,0,0,0,0,125.55578,1777493,1385
0,0,0,0,0,0,0,126.57136,2647149,1215
0,0,0,0,0,0,0,193.33902,2473523,1267
