w1,w2,w3,w4,w5,w6,w7,w8,doses,EM
0,0,0,0,0,0,0,0,0,-144
0,0,0,0,0,0,0,0,0,-158
0,0,0,0,0,0,0,0,0,-79
0,0,0,0,0,0,0,0,0,-80
0,0,0,0,0,0,0,0,0,-138
0,0,0,0,0,0,0,0,0,-48
0,0,0,0,0,0,0,0,0,-60
0,0,0,0,0,0,0,0,0,-161
0,0,0,0,0,0,0,0,0,-13
0.021750603,0,0,0,0,0,0,0,0,-41
0.30199876,0,0,0,0,0,0,0,0,-112
2.7025125,0,0,0,0,0,0,0,0,73
18.407284,0,0,0,0,0,0,0,0,258
50.968773,0,0,0,0,0,0,0,0,811
78.81875,0,0,0,0,0,0,0,0,1153
91.47091,0,0,0,0,0,0,0,0,817
80.25638,0,0,0,0,0,0,0,0,835
88.03975,0,0,0,0,0,0,0,0,564
80.7236,0,0,0,0,0,0,0,0,625
73.03183,0,0,0,0,0,0,0,0,468
70.46233,0,0,0,0,0,0,0,0,360
67.94679,0,0,0,0,0,0,0,0,270
62.705734,0,0,0,0,0,0,0,0,346
0,61.038467,0,0,0,0,0,0,0,326
0,65.81565,0,0,0,0,0,0,0,291
0,80.98795,0,0,0,0,0,0,0,340
0,116.57571,0,0,0,0,0,0,0,517
0,146.53256,0,0,0,0,0,0,0,687
0,179.7587,0,0,0,0,0,0,0,675
0,195.19536,0,0,0,0,0,0,0,641
0,192.37572,0,0,0,0,0,0,0,758
0,175.32492,0,0,0,0,0,0,0,737
0,153.42542,0,0,0,0,0,0,0,665
0,149.38565,0,0,0,0,0,0,0,534
0,126.285675,0,0,0,0,0,0,0,502
0,122.86121,0,0,0,0,0,0,0,375
0,0,122.58807,0,0,0,0,0,0,532
0,0,101.85724,0,0,0,0,0,0,329
0,0,118.93774,0,0,0,0,0,0,327
0,0,127.88058,0,0,0,0,0,0,294
0,0,127.26738,0,0,0,0,0,0,402
0,0,146.14189,0,0,0,0,0,0,329
0,0,164.14595,0,0,0,0,0,0,420
0,0,204.03488,0,0,0,0,0,0,423
0,0,272.70572,0,0,0,0,0,0,490
0,0,333.44803,0,0,0,0,0,0,512
0,0,445.54855,0,0,0,0,0,0,619
0,0,500.8177,0,0,0,0,0,0,527
0,0,470.31665,0,0,0,0,0,0,852
0,0,576.2944,0,0,0,0,0,0,834
0,0,620.9069,0,0,0,0,0,441650,1081
0,0,630.8587,0,0,0,0,0,1748764,1076
0,0,532.41504,0,0,0,0,0,2272646,662
0,0,631.7337,0,0,0,0,0,3753569,1177
