w1,w2,w3,w4,w5,w6,w7,w8,doses,EM
0,0,0,0,0,0,0,0,0,-74
0,0,0,0,0,0,0,0,0,-22
0,0,0,0,0,0,0,0,0,43
0,0,0,0,0,0,0,0,0,-13
0,0,0,0,0,0,0,0,0,-13
0,0,0,0,0,0,0,0,0,34
0,0,0,0,0,0,0,0,0,-120
0,0,0,0,0,0,0,0,0,29
0,0,0,0,0,0,0,0,0,-40
0.021750603,0,0,0,0,0,0,0,0,47
0.30199876,0,0,0,0,0,0,0,0,-45
2.7025125,0,0,0,0,0,0,0,0,7
18.407284,0,0,0,0,0,0,0,0,75
50.968773,0,0,0,0,0,0,0,0,307
78.81875,0,0,0,0,0,0,0,0,464
91.47091,0,0,0,0,0,0,0,0,444
80.25638,0,0,0,0,0,0,0,0,352
88.03975,0,0,0,0,0,0,0,0,255
80.7236,0,0,0,0,0,0,0,0,314
73.03183,0,0,0,0,0,0,0,0,326
70.46233,0,0,0,0,0,0,0,0,283
67.94679,0,0,0,0,0,0,0,0,267
62.705734,0,0,0,0,0,0,0,0,254
0,61.038467,0,0,0,0,0,0,0,250
0,65.81565,0,0,0,0,0,0,0,185
0,80.98795,0,0,0,0,0,0,0,210
0,116.57571,0,0,0,0,0,0,0,304
0,146.53256,0,0,0,0,0,0,0,325
0,179.7587,0,0,0,0,0,0,0,302
0,195.19536,0,0,0,0,0,0,0,438
0,192.37572,0,0,0,0,0,0,0,342
0,175.32492,0,0,0,0,0,0,0,340
0,153.42542,0,0,0,0,0,0,0,290
0,149.38565,0,0,0,0,0,0,0,340
0,126.285675,0,0,0,0,0,0,0,189
0,122.86121,0,0,0,0,0,0,0,239
0,0,122.58807,0,0,0,0,0,0,171
0,0,101.85724,0,0,0,0,0,0,205
0,0,118.93774,0,0,0,0,0,0,231
0,0,127.88058,0,0,0,0,0,0,139
0,0,127.26738,0,0,0,0,0,0,277
0,0,146.14189,0,0,0,0,0,0,190
0,0,164.14595,0,0,0,0,0,0,152
0,0,204.03488,0,0,0,0,0,0,153
0,0,272.70572,0,0,0,0,0,0,246
0,0,333.44803,0,0,0,0,0,0,250
0,0,445.54855,0,0,0,0,0,0,241
0,0,500.8177,0,0,0,0,0,0,304
0,0,470.31665,0,0,0,0,0,0,307
0,0,576.2944,0,0,0,0,0,0,370
0,0,620.9069,0,0,0,0,0,441650,473
0,0,630.8587,0,0,0,0,0,1748764,504
0,0,532.41504,0,0,0,0,0,2272646,307
0,0,631.7337,0,0,0,0,0,3753569,496
0,0,718.2522,0,0,0,0,0,5842021,487
0,0,629.626,0,0,0,0,0,6479340,476
0,0,492.24667,0,0,0,0,0,9039912,450
0,0,423.43405,0,0,0,0,0,9460062,304
0,0,338.64017,0,0,0,0,0,11603920,376
0,0,259.37384,0,0,0,0,0,10647616,267
0,0,185.29381,0,0,0,0,0,11516680,250
0,0,194.2835,0,0,0,0,0,15106143,174
0,0,0,167.8724,0,0,0,0,17791178,190
0,0,0,159.79834,0,0,0,0,15737996,209
0,0,0,160.50732,0,0,0,0,18739238,293
0,0,0,180.1088,0,0,0,0,21507687,97
0,0,0,185.26411,0,0,0,0,21779287,260
0,0,0,195.7065,0,0,0,0,22404204,233
0,0,0,197.60255,0,0,0,0,19768547,248
0,0,0,155.63853,0,0,0,0,17823011,336
0,0,0,138.37022,0,0,0,0,13883734,254
0,0,0,113.74645,0,0,0,0,13485137,211
0,0,0,92.02304,0,0,0,0,13108881,256
0,0,0,70.54348,0,0,0,0,9763827,255
0,0,0,57.528255,0,0,0,0,6563680,221
