w1,w2,w3,w4,w5,w6,w7,w8,doses,EM
0,0,0,0,0,0,0,0,0,-230
0,0,0,0,0,0,0,0,0,-198
0,0,0,0,0,0,0,0,0,-181
0,0,0,0,0,0,0,0,0,-151
0,0,0,0,0,0,0,0,0,-69
0,0,0,0,0,0,0,0,0,-217
0,0,0,0,0,0,0,0,0,-219
0,0,0,0,0,0,0,0,0,-60
0,0,0,0,0,0,0,0,0,-82
0.021750603,0,0,0,0,0,0,0,0,-199
0.30199876,0,0,0,0,0,0,0,0,-111
2.7025125,0,0,0,0,0,0,0,0,-82
18.407284,0,0,0,0,0,0,0,0,73
50.968773,0,0,0,0,0,0,0,0,410
78.81875,0,0,0,0,0,0,0,0,540
91.47091,0,0,0,0,0,0,0,0,469
80.25638,0,0,0,0,0,0,0,0,403
88.03975,0,0,0,0,0,0,0,0,255
80.7236,0,0,0,0,0,0,0,0,354
73.03183,0,0,0,0,0,0,0,0,295
70.46233,0,0,0,0,0,0,0,0,218
67.94679,0,0,0,0,0,0,0,0,165
62.705734,0,0,0,0,0,0,0,0,290
0,61.038467,0,0,0,0,0,0,0,214
0,65.81565,0,0,0,0,0,0,0,275
0,80.98795,0,0,0,0,0,0,0,187
0,116.57571,0,0,0,0,0,0,0,175
0,146.53256,0,0,0,0,0,0,0,424
0,179.7587,0,0,0,0,0,0,0,384
0,195.19536,0,0,0,0,0,0,0,307
0,192.37572,0,0,0,0,0,0,0,353
0,175.32492,0,0,0,0,0,0,0,345
0,153.42542,0,0,0,0,0,0,0,404
0,149.38565,0,0,0,0,0,0,0,345
0,126.285675,0,0,0,0,0,0,0,294
0,122.86121,0,0,0,0,0,0,0,242
0,0,122.58807,0,0,0,0,0,0,224
0,0,101.85724,0,0,0,0,0,0,97
0,0,118.93774,0,0,0,0,0,0,146
0,0,127.88058,0,0,0,0,0,0,91
0,0,127.26738,0,0,0,0,0,0,249
0,0,146.14189,0,0,0,0,0,0,117
0,0,164.14595,0,0,0,0,0,0,97
0,0,204.03488,0,0,0,0,0,0,148
0,0,272.70572,0,0,0,0,0,0,288
0,0,333.44803,0,0,0,0,0,0,327
0,0,445.54855,0,0,0,0,0,0,269
0,0,500.8177,0,0,0,0,0,0,316
0,0,470.31665,0,0,0,0,0,0,389
0,0,576.2944,0,0,0,0,0,0,562
0,0,620.9069,0,0,0,0,0,441650,629
0,0,630.8587,0,0,0,0,0,1748764,705
0,0,532.41504,0,0,0,0,0,2272646,382
0,0,631.7337,0,0,0,0,0,3753569,604
0,0,718.2522,0,0,0,0,0,5842021,702
0,0,629.626,0,0,0,0,0,6479340,609
0,0,492.24667,0,0,0,0,0,9039912,583
0,0,423.43405,0,0,0,0,0,9460062,427
0,0,338.64017,0,0,0,0,0,11603920,393
0,0,259.37384,0,0,0,0,0,10647616,321
0,0,185.29381,0,0,0,0,0,11516680,350
0,0,194.2835,0,0,0,0,0,15106143,144
0,0,0,167.8724,0,0,0,0,17791178,117
0,0,0,159.79834,0,0,0,0,15737996,130
0,0,0,160.50732,0,0,0,0,18739238,222
0,0,0,180.1088,0,0,0,0,21507687,211
0,0,0,185.26411,0,0,0,0,21779287,213
0,0,0,195.7065,0,0,0,0,22404204,242
0,0,0,197.60255,0,0,0,0,19768547,286
0,0,0,155.63853,0,0,0,0,17823011,238
0,0,0,138.37022,0,0,0,0,13883734,203
0,0,0,113.74645,0,0,0,0,13485137,222
0,0,0,92.02304,0,0,0,0,13108881,294
0,0,0,70.54348,0,0,0,0,9763827,151
0,0,0,57.528255,0,0,0,0,6563680,197
0,0,0,40.55316,0,0,0,0,7843998,166
0,0,0,39.660553,0,0,0,0,9005069,153
0,0,0,33.861088,0,0,0,0,5005306,173
0,0,0,0,37.733112,0,0,0,7847448,183
0,0,0,0,40.45403,0,0,0,3594853,134
0,0,0,0,125.67624,0,0,0,3674044,185
