w1,w2,w3,w4,w5,w6,w7,w8,doses,EM
0,0,0,0,0,0,0,0,0,61
0,0,0,0,0,0,0,0,0,-12
0,0,0,0,0,0,0,0,0,29
0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,0,0,0,0,34
0,0,0,0,0,0,0,0,0,28
0,0,0,0,0,0,0,0,0,15
0,0,0,0,0,0,0,0,0,64
0,0,0,0,0,0,0,0,0,43
0.021750603,0,0,0,0,0,0,0,0,60
0.30199876,0,0,0,0,0,0,0,0,48
2.7025125,0,0,0,0,0,0,0,0,63
18.407284,0,0,0,0,0,0,0,0,103
50.968773,0,0,0,0,0,0,0,0,158
78.81875,0,0,0,0,0,0,0,0,155
91.47091,0,0,0,0,0,0,0,0,105
80.25638,0,0,0,0,0,0,0,0,167
88.03975,0,0,0,0,0,0,0,0,152
80.7236,0,0,0,0,0,0,0,0,118
73.03183,0,0,0,0,0,0,0,0,117
70.46233,0,0,0,0,0,0,0,0,164
67.94679,0,0,0,0,0,0,0,0,146
62.705734,0,0,0,0,0,0,0,0,157
0,61.038467,0,0,0,0,0,0,0,121
0,65.81565,0,0,0,0,0,0,0,155
0,80.98795,0,0,0,0,0,0,0,166
0,116.57571,0,0,0,0,0,0,0,196
0,146.53256,0,0,0,0,0,0,0,131
0,179.7587,0,0,0,0,0,0,0,223
0,195.19536,0,0,0,0,0,0,0,200
0,192.37572,0,0,0,0,0,0,0,149
0,175.32492,0,0,0,0,0,0,0,118
0,153.42542,0,0,0,0,0,0,0,212
0,149.38565,0,0,0,0,0,0,0,132
0,126.285675,0,0,0,0,0,0,0,123
0,122.86121,0,0,0,0,0,0,0,104
0,0,122.58807,0,0,0,0,0,0,101
0,0,101.85724,0,0,0,0,0,0,136
0,0,118.93774,0,0,0,0,0,0,115
0,0,127.88058,0,0,0,0,0,0,61
0,0,127.26738,0,0,0,0,0,0,117
0,0,146.14189,0,0,0,0,0,0,72
0,0,164.14595,0,0,0,0,0,0,115
0,0,204.03488,0,0,0,0,0,0,146
0,0,272.70572,0,0,0,0,0,0,108
0,0,333.44803,0,0,0,0,0,0,134
0,0,445.54855,0,0,0,0,0,0,102
0,0,500.8177,0,0,0,0,0,0,125
0,0,470.31665,0,0,0,0,0,0,119
0,0,576.2944,0,0,0,0,0,0,193
0,0,620.9069,0,0,0,0,0,441650,109
0,0,630.8587,0,0,0,0,0,1748764,113
0,0,532.41504,0,0,0,0,0,2272646,128
0,0,631.7337,0,0,0,0,0,3753569,190
0,0,718.2522,0,0,0,0,0,5842021,205
0,0,629.626,0,0,0,0,0,6479340,161
0,0,492.24667,0,0,0,0,0,9039912,159
0,0,423.43405,0,0,0,0,0,9460062,166
0,0,338.64017,0,0,0,0,0,11603920,149
0,0,259.37384,0,0,0,0,0,10647616,74
0,0,185.29381,0,0,0,0,0,11516680,152
0,0,194.2835,0,0,0,0,0,15106143,134
0,0,0,167.8724,0,0,0,0,17791178,129
0,0,0,159.79834,0,0,0,0,15737996,183
0,0,0,160.50732,0,0,0,0,18739238,128
0,0,0,180.1088,0,0,0,0,21507687,123
0,0,0,185.26411,0,0,0,0,21779287,162
0,0,0,195.7065,0,0,0,0,22404204,150
0,0,0,197.60255,0,0,0,0,19768547,137
0,0,0,155.63853,0,0,0,0,17823011,170
0,0,0,138.37022,0,0,0,0,13883734,169
0,0,0,113.74645,0,0,0,0,13485137,131
0,0,0,92.02304,0,0,0,0,13108881,113
0,0,0,70.54348,0,0,0,0,9763827,207
0,0,0,57.528255,0,0,0,0,6563680,137
