w1,w2,w3,w4,w5,w6,w7,w8,doses,EM
0,0,0,0,0,0,0,0,0,101
0,0,0,0,0,0,0,0,0,131
0,0,0,0,0,0,0,0,0,93
0,0,0,0,0,0,0,0,0,139
0,0,0,0,0,0,0,0,0,54
0,0,0,0,0,0,0,0,0,61
0,0,0,0,0,0,0,0,0,104
0,0,0,0,0,0,0,0,0,104
0,0,0,0,0,0,0,0,0,135
0.021750603,0,0,0,0,0,0,0,0,71
0.30199876,0,0,0,0,0,0,0,0,68
2.7025125,0,0,0,0,0,0,0,0,115
18.407284,0,0,0,0,0,0,0,0,134
50.968773,0,0,0,0,0,0,0,0,168
78.81875,0,0,0,0,0,0,0,0,180
91.47091,0,0,0,0,0,0,0,0,247
80.25638,0,0,0,0,0,0,0,0,224
88.03975,0,0,0,0,0,0,0,0,182
80.7236,0,0,0,0,0,0,0,0,213
73.03183,0,0,0,0,0,0,0,0,260
70.46233,0,0,0,0,0,0,0,0,252
67.94679,0,0,0,0,0,0,0,0,210
62.705734,0,0,0,0,0,0,0,0,245
0,61.038467,0,0,0,0,0,0,0,235
0,65.81565,0,0,0,0,0,0,0,240
0,80.98795,0,0,0,0,0,0,0,259
0,116.57571,0,0,0,0,0,0,0,162
0,146.53256,0,0,0,0,0,0,0,243
0,179.7587,0,0,0,0,0,0,0,307
0,195.19536,0,0,0,0,0,0,0,266
0,192.37572,0,0,0,0,0,0,0,229
0,175.32492,0,0,0,0,0,0,0,242
0,153.42542,0,0,0,0,0,0,0,256
0,149.38565,0,0,0,0,0,0,0,232
0,126.285675,0,0,0,0,0,0,0,229
0,122.86121,0,0,0,0,0,0,0,198
0,0,122.58807,0,0,0,0,0,0,213
0,0,101.85724,0,0,0,0,0,0,201
0,0,118.93774,0,0,0,0,0,0,178
0,0,127.88058,0,0,0,0,0,0,159
0,0,127.26738,0,0,0,0,0,0,240
0,0,146.14189,0,0,0,0,0,0,181
0,0,164.14595,0,0,0,0,0,0,133
0,0,204.03488,0,0,0,0,0,0,177
0,0,272.70572,0,0,0,0,0,0,279
0,0,333.44803,0,0,0,0,0,0,204
0,0,445.54855,0,0,0,0,0,0,195
0,0,500.8177,0,0,0,0,0,0,250
0,0,470.31665,0,0,0,0,0,0,194
0,0,576.2944,0,0,0,0,0,0,184
0,0,620.9069,0,0,0,0,0,441650,232
0,0,630.8587,0,0,0,0,0,1748764,264
0,0,532.41504,0,0,0,0,0,2272646,232
0,0,631.7337,0,0,0,0,0,3753569,282
0,0,718.2522,0,0,0,0,0,5842021,325
0,0,629.626,0,0,0,0,0,6479340,315
0,0,492.24667,0,0,0,0,0,9039912,241
0,0,423.43405,0,0,0,0,0,9460062,294
0,0,338.64017,0,0,0,0,0,11603920,213
0,0,259.37384,0,0,0,0,0,10647616,247
0,0,185.29381,0,0,0,0,0,11516680,198
0,0,194.2835,0,0,0,0,0,15106143,210
0,0,0,167.8724,0,0,0,0,17791178,198
0,0,0,159.79834,0,0,0,0,15737996,238
0,0,0,160.50732,0,0,0,0,18739238,264
0,0,0,180.1088,0,0,0,0,21507687,298
0,0,0,185.26411,0,0,0,0,21779287,312
0,0,0,195.7065,0,0,0,0,22404204,222
0,0,0,197.60255,0,0,0,0,19768547,309
0,0,0,155.63853,0,0,0,0,17823011,264
0,0,0,138.37022,0,0,0,0,13883734,278
0,0,0,113.74645,0,0,0,0,13485137,251
0,0,0,92.02304,0,0,0,0,13108881,286
0,0,0,70.54348,0,0,0,0,9763827,251
0,0,0,57.528255,0,0,0,0,6563680,196
0,0,0,40.55316,0,0,0,0,7843998,299
0,0,0,39.660553,0,0,0,0,9005069,353
0,0,0,33.861088,0,0,0,0,5005306,215
