Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
United States,2023-01-14,187.4283
United States,2023-01-15,187.4283
United States,2023-01-16,187.4283
United States,2023-01-17,187.4283
United States,2023-01-18,187.4283
United States,2023-01-19,187.4283
United States,2023-01-20,128.84096
United States,2023-01-21,128.84096
United States,2023-01-22,128.84096
United States,2023-01-23,128.84096
United States,2023-01-24,128.84096
United States,2023-01-25,128.84096
United States,2023-01-26,128.84096
United States,2023-01-27,123.33721
United States,2023-01-28,123.33721
United States,2023-01-29,123.33721
United States,2023-01-30,123.33721
United States,2023-01-31,123.33721
United States,2023-02-01,123.33721
United States,2023-02-02,123.33721
United States,2023-02-03,119.37819
United States,2023-02-04,119.37819
United States,2023-02-05,119.37819
United States,2023-02-06,119.37819
United States,2023-02-07,119.37819
United States,2023-02-08,119.37819
United States,2023-02-09,119.37819
United States,2023-02-10,116.37744
United States,2023-02-11,116.37744
United States,2023-02-12,116.37744
United States,2023-02-13,116.37744
United States,2023-02-14,116.37744
United States,2023-02-15,116.37744
United States,2023-02-16,116.37744
United States,2023-02-17,106.39893
United States,2023-02-18,106.39893
United States,2023-02-19,106.39893
United States,2023-02-20,106.39893
United States,2023-02-21,106.39893
United States,2023-02-22,106.39893
United States,2023-02-23,106.39893
United States,2023-02-24,0
United States,2023-02-25,111.75125
United States,2023-02-26,111.75125
United States,2023-02-27,111.75125
United States,2023-02-28,111.75125
United States,2023-03-01,111.75125
United States,2023-03-02,111.75125
United States,2023-03-03,111.75125
United States,2023-03-04,95.29609
United States,2023-03-05,95.29609
United States,2023-03-06,95.29609
United States,2023-03-07,95.29609
United States,2023-03-08,95.29609
United States,2023-03-09,95.29609
United States,2023-03-10,95.29609
United States,2023-03-11,71.35578
United States,2023-03-12,71.35578
United States,2023-03-13,71.35578
United States,2023-03-14,71.35578
United States,2023-03-15,71.35578
United States,2023-03-16,71.35578
United States,2023-03-17,71.35578
United States,2023-03-18,52.95979
United States,2023-03-19,52.95979
United States,2023-03-20,52.95979
United States,2023-03-21,52.95979
United States,2023-03-22,52.95979
United States,2023-03-23,52.95979
United States,2023-03-24,52.95979
United States,2023-03-25,63.98358
United States,2023-03-26,63.98358
United States,2023-03-27,63.98358
United States,2023-03-28,63.98358
United States,2023-03-29,63.98358
United States,2023-03-30,63.98358
United States,2023-03-31,63.98358
United States,2023-04-01,73.76717
United States,2023-04-02,73.76717
United States,2023-04-03,73.76717
United States,2023-04-04,73.76717
United States,2023-04-05,73.76717
United States,2023-04-06,73.76717
United States,2023-04-07,73.76717
United States,2023-04-08,0
United States,2023-04-09,43.280354
United States,2023-04-10,43.280354
United States,2023-04-11,43.280354
United States,2023-04-12,43.280354
United States,2023-04-13,43.280354
United States,2023-04-14,43.280354
United States,2023-04-15,43.280354
United States,2023-04-16,43.525047
United States,2023-04-17,43.525047
United States,2023-04-18,43.525047
United States,2023-04-19,43.525047
United States,2023-04-20,43.525047
United States,2023-04-21,43.525047
United States,2023-04-22,43.525047
United States,2023-04-23,41.18686
United States,2023-04-24,41.18686
United States,2023-04-25,41.18686
United States,2023-04-26,41.18686
United States,2023-04-27,41.18686
United States,2023-04-28,41.18686
United States,2023-04-29,41.18686
United States,2023-04-30,36.1746
United States,2023-05-01,36.1746
United States,2023-05-02,36.1746
United States,2023-05-03,36.1746
United States,2023-05-04,36.1746
United States,2023-05-05,36.1746
United States,2023-05-06,36.1746
United States,2023-05-07,32.27664
United States,2023-05-08,32.27664
United States,2023-05-09,32.27664
United States,2023-05-10,32.27664
United States,2023-05-11,32.27664
United States,2023-05-12,32.27664
United States,2023-05-13,32.27664
United States,2023-05-14,39.00887
United States,2023-05-15,39.00887
United States,2023-05-16,39.00887
United States,2023-05-17,39.00887
United States,2023-05-18,39.00887
United States,2023-05-19,39.00887
United States,2023-05-20,39.00887
United States,2023-05-21,0
