Entity,Day,Weekly cases
United States,2023-04-14,103472
United States,2023-04-15,103472
United States,2023-04-16,104057
United States,2023-04-17,104057
United States,2023-04-18,104057
United States,2023-04-19,104057
United States,2023-04-20,104057
United States,2023-04-21,104057
United States,2023-04-22,104057
United States,2023-04-23,98467
United States,2023-04-24,98467
United States,2023-04-25,98467
United States,2023-04-26,98467
United States,2023-04-27,98467
United States,2023-04-28,98467
United States,2023-04-29,98467
United States,2023-04-30,86484
United States,2023-05-01,86484
United States,2023-05-02,86484
United States,2023-05-03,86484
United States,2023-05-04,86484
United States,2023-05-05,86484
United States,2023-05-06,86484
United States,2023-05-07,77165
United States,2023-05-08,77165
United States,2023-05-09,77165
United States,2023-05-10,77165
United States,2023-05-11,77165
United States,2023-05-12,77165
United States,2023-05-13,77165
United States,2023-05-14,93260
United States,2023-05-15,93260
United States,2023-05-16,93260
United States,2023-05-17,93260
United States,2023-05-18,93260
United States,2023-05-19,93260
United States,2023-05-20,93260
